Player,Points
CluelessGamer18,582
JJ22FTW,450
Labmonjo1210,360
SuperToad916,325
Jamez10,314
Astral_Jade,312
SerRonanIrwin,265
Hunter13004,264
IceKing12323,260
bpm2007,247
BeanGangTingle,246
lgmusicfan,220
tenparks,217
SpaghettiGremlin,209
NautilusReign,180
KirynMissy,170
Abach6,165
1800getpoop,163
TVTrickster,160
lurchlurger,160
LethalPilot,160
LightningLucario,154
QuinnQuimby,151
josie_elite,151
Basyleasjkresdjyll,148
ronescape,123
Pretty_,122
asher_06,102
lgmusic,100
LlamaBoombama,84
cowDude12345,76
bhearts,72
Kyzr_,72
iicbunny,54
humilau,-1
PugBeans,-1
sapphronn,-1
