Player,Points
humilau,594
BeanGangTingle,541
asher_06,446
Pretty_,414
TVTrickster,408
IceKing12323,392
ronescape,384
JJ22FTW,381
LightningLucario,380
Basyleasjkresdjyll,369
Labmonjo1210,362
Abach6,340
cowDude12345,330
Jamez10,311
bhearts,294
josie_elite,294
SuperToad916,285
LethalPilot,277
CluelessGamer18,274
PugBeans,270
SerRonanIrwin,245
lgmusicfan,237
KirynMissy,228
iicbunny,216
SpaghettiGremlin,212
Hunter13004,210
tenparks,192
NautilusReign,186
LlamaBoombama,174
sapphronn,156
bpm2007,152
QuinnQuimby,150
Astral_Jade,60
Kyzr_,42
1800getpoop,40
lurchlurger,-1
lgmusic,-1
